Level 9
walls:
0,690,0.5
35,690,0.5
70,690,0.5
105,690,0.5
140,690,0.5
175,690,0.5
210,690,0.5
245,690,0.5
280,690,0.5
315,690,0.5
350,690,0.5
385,690,0.5
420,690,0.5
455,690,0.5
490,690,0.5
525,690,0.5
560,690,0.5
595,690,0.5
630,690,0.5
665,690,0.5
700,690,0.5
735,690,0.5
770,690,0.5
805,690,0.5
840,690,0.5
875,690,0.5
910,690,0.5
945,690,0.5
980,690,0.5
1015,690,0.5
1050,690,0.5
1085,690,0.5
1120,690,0.5
1155,690,0.5
1190,690,0.5
1225,690,0.5
1260,690,0.5
0,0,0.5
35,0,0.5
70,0,0.5
105,0,0.5
140,0,0.5
175,0,0.5
210,0,0.5
245,0,0.5
280,0,0.5
315,0,0.5
350,0,0.5
385,0,0.5
420,0,0.5
455,0,0.5
490,0,0.5
525,0,0.5
560,0,0.5
595,0,0.5
630,0,0.5
665,0,0.5
700,0,0.5
735,0,0.5
770,0,0.5
805,0,0.5
840,0,0.5
875,0,0.5
910,0,0.5
945,0,0.5
980,0,0.5
1015,0,0.5
1050,0,0.5
1085,0,0.5
1120,0,0.5
1155,0,0.5
1190,0,0.5
1225,0,0.5
1260,0,0.5
0,-20,0.5
0,15,0.5
0,50,0.5
0,85,0.5
0,120,0.5
0,155,0.5
0,190,0.5
0,225,0.5
0,260,0.5
0,295,0.5
0,330,0.5
0,365,0.5
0,400,0.5
0,435,0.5
0,470,0.5
0,505,0.5
0,540,0.5
0,575,0.5
0,610,0.5
0,645,0.5
0,680,0.5
1245,-20,0.5
1245,15,0.5
1245,50,0.5
1245,85,0.5
1245,120,0.5
1245,155,0.5
1245,190,0.5
1245,225,0.5
1245,260,0.5
1245,295,0.5
1245,330,0.5
1245,365,0.5
1245,400,0.5
1245,435,0.5
1245,470,0.5
1245,505,0.5
1245,540,0.5
1245,575,0.5
1245,610,0.5
1245,645,0.5
1245,680,0.5
400,200,0.5
365,200,0.5
365,165,0.5
365,130,0.5
365,95,0.5
365,85,0.5
435,200,0.5
435,165,0.5
435,130,0.5
435,95,0.5
435,85,0.5
900,270,0.25
850,250,0.25
800,230,0.25
750,210,0.25
800,100,0.25
810,105,0.25
820,110,0.25
830,115,0.25
840,120,0.25
850,125,0.25
860,130,0.25
870,135,0.25
880,140,0.25
970,140,0.25
960,140,0.25
950,140,0.25
940,140,0.25
930,140,0.25
920,140,0.25
910,140,0.25
900,140,0.25
890,140,0.25
460,85,0.25
475,85,0.25
490,85,0.25
505,85,0.25
520,85,0.25
435,85,0.25
450,85,0.25
465,85,0.25
480,85,0.25
495,85,0.25
510,85,0.25
535,85,0.25
550,85,0.25
565,85,0.25
580,85,0.25
595,85,0.25
610,85,0.25
375,85,0.25
360,85,0.25
345,85,0.25
330,85,0.25
315,85,0.25
300,85,0.25
285,85,0.25
270,85,0.25
255,85,0.25
240,85,0.25
225,85,0.25
210,85,0.25
195,85,0.25
180,85,0.25
165,85,0.25
150,85,0.25
135,85,0.25
120,85,0.25
105,85,0.25
90,85,0.25
75,85,0.25
60,85,0.25
45,85,0.25
30,85,0.25
15,85,0.25
670,188,0.25
1030,350,0.25
1100,500,0.25
1115,500,0.25
1115,485,0.25
1115,470,0.25
1115,460,0.25
1115,450,0.25
1115,435,0.25
1115,420,0.25
1115,405,0.25
1130,405,0.25

staticEnemies
0,688,0.5
200,688,0.5
400,688,0.5
600,688,0.5
800,688,0.5
1000,688,0.5
0,-5,0.4
100,-5,0.4
200,-5,0.4
300,-5,0.4
400,-5,0.4
500,-5,0.4
600,-5,0.4
700,-5,0.4
800,-5,0.4
900,-5,0.4
1000,-5,0.4
1100,-5,0.4
1200,-5,0.4

finishElements
1180,-100,0.04
1180,660,0.04

startingPosition
400,180
900,250

startingPositionZombies
-100,-100
-100,-100
